type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
Movie;Monster Run;Henri Wong;Shawn Yue, Jessie Li, Kara Wai, Tu Men, Qiao Shan, Wang Yutian, Yang Di, Wang Zhener;China;February 7, 2021;2020;TV-14;104 min;Action & Adventure, International Movies;Jimo, an outcast who can see monsters, teams up with a monster hunter to fight evil forces and soon discovers her greater calling.
Movie;A Whisker Away;Junichi Sato, Tomotaka Shibayama;Mirai Shida, Natsuki Hanae, Hiroaki Ogi, Koichi Yamadera, Minako Kotobuki, Susumu Chiba, Ayako Kawasumi, Sayaka Ohara, Daisuke Namikawa;Japan;June 18, 2020;2020;TV-PG;104 min;Anime Features, Children & Family Movies, International Movies;A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.
Movie;#FriendButMarried 2;Rako Prijanto;Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata;Indonesia;June 28, 2020;2020;TV-G;104 min;Dramas, International Movies, Romantic Movies;As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.
Movie;The Occupant;Àlex Pastor, David Pastor;Javier Gutiérrez, Mario Casas, Bruna Cusí, Ruth Díaz;Spain;March 25, 2020;2020;TV-MA;104 min;Independent Movies, International Movies, Thrillers;An unemployed advertising executive begins stalking the new tenants of his former home and his motives toward the family turn sinister.
Movie;Uncorked;Prentice Penny;Mamoudou Athie, Courtney B. Vance, Niecy Nash, Sasha Compère, Bernard D. Jones, Gil Ozeri, Matt McGorry, Meera Rohit Kumbhani;United States;March 27, 2020;2020;TV-MA;104 min;Dramas, Independent Movies;A young man feels torn between his dream of becoming a master sommelier and his father’s expectations that he’ll take over the family barbecue business.
Movie;Hubie Halloween;Steve Brill;Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler;United States;October 7, 2020;2020;PG-13;104 min;Comedies, Horror Movies;Hubie's not the most popular guy in Salem, Mass., but when Halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe.
Movie;Rich in Love;Bruno Garotti;Danilo Mesquita, Giovanna Lancellotti, Jaffar Bambirra, Lellê, Ernani Moraes, Gillray Coutinho, Jeniffer Dias, Bruna Griphao, Fernanda Paes Leme;Brazil;April 30, 2020;2020;TV-14;105 min;Comedies, International Movies, Romantic Movies;Rich kid Teto is determined to prove himself to Paula, his love interest. But when he tells her he grew up poor, the lie spins out of control.
Movie;After We Collided;Roger Kumble;Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Selma Blair, Louise Lombard, Shane Paul McGhie, Candice King, Charlie Weber, Khadijha Red Thunder, Inanna Sarkis, Pia Mia, Samuel Larsen, Dylan Arnold, Karimah Westbrook, Rob Estes;United States;December 22, 2020;2020;R;105 min;Dramas, Romantic Movies;Tessa fell hard and fast for Hardin, but after a betrayal tears them apart, she must decide whether to move on — or trust him with a second chance.
Movie;The Rope Curse 2;Liao Shih-han;Lee Kang-sheng, Wilson Hsu, Vera Chen, Yen Cheng-kuo, Chen Bor-jeng, Liu Kuo-shao;Taiwan;December 30, 2020;2020;TV-MA;105 min;Horror Movies, International Movies;After a purification ritual unravels, a conflicted Taoist priest attempts to help a lonely young psychic whose aunt is possessed by a powerful demon.
Movie;Double Dad;Cris D'Amato;Maisa Silva, Eduardo Moscovis, Marcelo Médici, Laila Zaid, Pedro Ottoni, Rayana Diniz, Caio Vegatti, Fafá de Belém, Thaynara Og, Roberto Bonfim;Brazil;January 15, 2021;2020;TV-G;105 min;Children & Family Movies, Comedies, Dramas;While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.
Movie;Sanitation Day;Seyi Babatope;Blossom Chukwujekwu, Elozonam Ogbolu, Nse Ikpe-Etim, Belinda Effah, Saeed Mohammed, Chukwuemeka Okoroafor, Kunle Fawole, Chris Okagbue, Adebayo Salami, Charles Inojie, Elvina Ibru, Tobi Bakare;Nigeria;July 21, 2021;2020;TV-14;105 min;Dramas, International Movies, Thrillers;Two cops must contend with the uncooperative tenants of an apartment complex as they try to solve a murder before the crime scene is wiped clean.
Movie;Har Kisse Ke Hisse: Kaamyaab;Hardik Mehta;Sanjay Mishra, Deepak Dobriyal, Sarika Singh, Isha Talwar, Avtar Gill, Kaurwakee Vashistha, Amitabh Srivastava, Vikas Verma;India;July 6, 2021;2020;TV-14;105 min;Dramas, International Movies;After a career of thankless credits, a retired actor returns for a long-awaited leading role but finds he is utterly unprepared for new-age filmmaking.
Movie;The Half Of It;Alice Wu;Leah Lewis, Daniel Diemer, Alexxis Lemire, Wolfgang Novogratz, Collin Chou, Becky Ann Baker, Enrique Murciano, Macintyre Dixon, Catherine Curtin;United States;May 1, 2020;2020;PG-13;105 min;Comedies, Dramas, LGBTQ Movies;When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend — or fall for his crush.
Movie;Holidate;John Whitesell;Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, Jessica Capshaw, Andrew Bachelor, Cynthy Wu, Alex Moffat, Manish Dayal;United States;October 28, 2020;2020;TV-MA;105 min;Comedies, Romantic Movies;Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.
Movie;Christmas Crossfire;Detlev Buck;Kostja Ullmann, Alli Neumann, Sascha Alexander Gersak, Sophia Thomalla, Merlin Rose, Detlev Buck, Peter Kurth, Anika Mauer, Frederic Linkemann, Bernd Hölscher;Germany;December 4, 2020;2020;TV-MA;106 min;Comedies, International Movies, Thrillers;A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him.
Movie;Uppity: The Willy T. Ribbs Story;Nate Adams, Adam Carolla;Willy T. Ribbs;United States;February 5, 2020;2020;TV-MA;106 min;Documentaries, Sports Movies;This documentary profiles a defiant driver who challenged racial barriers in American auto racing, becoming the first black man to race in the Indy 500.
Movie;Animal Crackers;Tony Bancroft, Scott Christian Sava;Emily Blunt, John Krasinski, Ian McKellen, Danny DeVito, Raven-Symoné, Patrick Warburton, Wallace Shawn, Gilbert Gottfried, Tara Strong, Harvey Fierstein, James Arnold Taylor, Kevin Grevioux, Sylvester Stallone, Lydia Rose Taylor;China, Spain, South Korea, United States;July 24, 2020;2020;TV-Y7;106 min;Children & Family Movies, Comedies;Enchanted animal crackers turn Owen into whatever shape he eats! But to save the family circus, he'll have to keep them out of his evil uncle's hands.
Movie;Who's the Boss;Chinaza Onuzo;Funke Akindele, Blossom Chukwujekwu, Sharon Ooja, Ini Dima-Okojie, Segun Arinze, Bolly Lomo, Beverly Osu, Tayo Faniran;Nigeria;March 19, 2021;2020;TV-MA;106 min;Comedies, International Movies, Romantic Movies;A young, overworked ad executive with an overbearing boss starts her own side hustle and invents an employer once her business begins to flourish.
Movie;Finding Agnes;Marla M. Ancheta;Jelson Bay, Sue Ramirez, Sandy Andolong, Roxanne Guinoo, Cheska Iñigo, Hannah Ledesma, Yuan Francisco, Raffa Esplana, Varoon Kessop;Philippines;November 30, 2020;2020;TV-PG;106 min;Dramas, International Movies;On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter.
Movie;The Lift Boy;Jonathan Augustin;Moin Khan, Nyla Masood, Saagar Kale, Neha Bam, Aneesha Shah, Damian Alexander D'Souza, Kaustubh Narain, Shilpa Iyer, Nil Mani, Pallas Prajapati;India;April 27, 2020;2020;TV-MA;107 min;Dramas, Independent Movies, International Movies;When a lazy young man replaces his father as the elevator operator of a posh residential complex, what he sees as menial work soon takes on new meaning.
Movie;Santana;Chris Roland, Maradona Dias Dos Santos;Paulo Americano, Raul Rosario, Rapulana Seiphemo, David O'Hara, Hakeem Kae-Kazim, Neide Vieira, Cigano Satyohamba, Nompilo Gwala;South Africa, Angola;August 28, 2020;2020;TV-MA;107 min;Action & Adventure, International Movies;Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago.
Movie;A California Christmas;Shaun Paul Piccinino;Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio, Natalia Mann, Katelyn Epperly, Gunnar Anderson, Julie Lancaster, Amanda Detmer;United States;December 14, 2020;2020;PG-13;107 min;Comedies, Romantic Movies;With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family’s land before Christmas.
Movie;The Last Paradiso;Rocco Ricciardulli;Riccardo Scamarcio, Gaia Bermani Amaral, Valentina Cervi, Antonio Gerardi, Federica Torchetti, Anna Maria de Luca, Lucia Zotti, Nicoletta Carbonara, Donato Placido, Mimmo Mignemi;Italy;February 5, 2021;2020;TV-MA;107 min;Dramas, International Movies, Romantic Movies;In 1950s Italy, a passionate free spirit dreams of love, justice and a better life till a forbidden affair threatens everything. Based on real events.
Movie;Desperados;LP;Nasim Pedrad, Anna Camp, Lamorne Morris, Heather Graham, Robbie Amell, Sarah Burns, Jessica Chaffin;United States;July 3, 2020;2020;TV-MA;107 min;Comedies, Romantic Movies;After drunkenly sending a cringeworthy email, hopeless romantic Wes heads to Mexico with her best friends to erase the note before her new love reads it.
Movie;Mrs. Serial Killer;Shirish Kunder;Jacqueline Fernandez, Manoj Bajpayee, Mohit Raina, Zayn Marie Khan;India;May 1, 2020;2020;TV-MA;107 min;International Movies, Thrillers;When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence.
Movie;Time to Dance;Stanley Menino D'Costa;Sooraj Pancholi, Isabelle Kaif, Rajpal Yadav, Waluscha D'Souza, Natasha Powell, Martin Rycroft, Amrit Maghera, Saqib Saleem;India;May 7, 2021;2020;TV-PG;107 min;Dramas, International Movies, Romantic Movies;When a ballroom dancer’s shot at a crucial tournament is jeopardized, a street dancer must face his own painful past and step up as her new partner.
Movie;Wheels of Fortune;Shaun Paul Piccinino;Matt Jones, Noureen DeWulf, John Ducey, Matty Cardarople, Jeff Fahey, Christina Moore, Gabriel Tigerman, Ali Afshar, Tyler Jacob Moore, Jessica Serfaty;United States;November 1, 2020;2020;R;107 min;Comedies, Sports Movies;To claim a big inheritance, a down-on-his-luck mechanic must win a series of competitions as outlined in his birth father's will.
Movie;Òlòtūré;Kenneth Gyang;Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua;Nigeria;October 2, 2020;2020;TV-MA;107 min;Dramas, International Movies;In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.
Movie;Seriously Single;Katleho Ramaphakela, Rethabile Ramaphakela;Fulu Mugovhani, Tumi Morake, Bohang Moeko, Yonda Thomas;South Africa;July 31, 2020;2020;TV-MA;108 min;Comedies, International Movies, Romantic Movies;While her free-living bestie urges her to embrace singlehood, a commitment-craving social media expert can't stop following the life of a former love.
Movie;Any Crybabies Around?;Takuma Sato;Taiga Nakano, Riho Yoshioka, Kanichiro, Takashi Yamanaka, Kimiko Yo, Toshiro Yanagiba;Japan;March 20, 2021;2020;TV-MA;108 min;Dramas, International Movies;An immature young father in Akita becomes an outcast in his community after a media incident. Two years later he returns to ineptly try to make amends.
Movie;So Much Love to Give;Marcos Carnevale;Adrián Suar, Soledad Villamil, Gabriela Toscano, Alan Sabbagh, Darío Barassi, Magela Zanotta, Betiana Blum;Argentina;September 9, 2020;2020;TV-14;108 min;Comedies, International Movies, Music & Musicals;Fernando is a family man — equally committed to each of his two families. But one wrong turn brings them crashing together.
Movie;Funny Boy;Deepa Mehta;Brandon Ingram, Nimmi Harasgama, Ali Kazmi, Arush Nand, Agam Darshi, Rehan Mudannayake, Shivantha Wijesinha, Seema Biswas, Hidaayath Hazeer;Canada, United States;December 10, 2020;2020;TV-MA;109 min;Dramas, LGBTQ Movies;A student must navigate issues of sexuality, identity and family amid Sri Lanka's social turmoil of the 1970s and 1980s.
Movie;AK vs AK;Vikramaditya Motwane;Anil Kapoor, Anurag Kashyap;India;December 25, 2020;2020;TV-MA;109 min;Comedies, Dramas, International Movies;After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time.
Movie;All The Bright Places;Brett Haley;Elle Fanning, Justice Smith, Luke Wilson, Keegan-Michael Key, Alexandra Shipp, Lamar Johnson, Virginia Gardner, Kelli O'Hara, Felix Mallard, Sofia Hasmik;United States;February 28, 2020;2020;TV-MA;109 min;Dramas, Romantic Movies;Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.
Movie;Ultras;Francesco Lettieri;Aniello Arena, Antonia Truppo, Ciro Nacca, Simone Borelli, Daniele Vicorito, Salvatore Pelliccia;Italy;March 20, 2020;2020;TV-MA;109 min;Dramas, International Movies, Sports Movies;An aging soccer fanatic faces down the reality of his past while struggling to give himself and a young follower very different futures.
Movie;The Lost Husband;Vicky Wight;Leslie Bibb, Josh Duhamel, Nora Dunn, Sharon Lawrence, Callie Hope Haverda, Roxton Garcia;United States;August 10, 2020;2020;PG-13;110 min;Dramas, Romantic Movies;Looking to start anew, a widow retreats with her children to her aunt's goat farm, where the ranch's manager helps her navigate country life and loss.
Movie;Maniyarayile Ashokan;Shamzu Zayba;Jacob Gregory, S.V. Krishna Shankar, Shine Tom Chacko, Vijayaraghavan, Sri Lakshmi, Anupama Parameswaran, Dulquer Salmaan, Nazriya Fahad;India;August 31, 2020;2020;TV-14;110 min;Comedies, International Movies, Romantic Movies;When his unlucky horoscope doesn’t bode well for his future wife, an earnest bachelor goes to surprising lengths to get the family he’s always wanted.
Movie;Double World;Teddy Chan;Henry Lau, Peter Ho, Lin Chenhan, Jiang Luxia, Ming Hu, Him Law, Shi Shi, Mark Cheng, Wang Ziyi, Xu Minghu;China;July 25, 2020;2020;TV-14;110 min;Action & Adventure, International Movies;Keen to bring honor to his clan, young villager Dong Yilong embarks on a perilous journey to compete in a tournament that selects warriors for battle.
Movie;Feel the Beat;Elissa Down;Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin, Eva Hauge, Rex Lee, Brandon Kyle Goodman, Lidya Jewett, Sadie Lapidus, Johanna Colón, Shaylee Mansfield, Shiloh Nelson, Justin Allan, Carina Battrick, Kai Zen, Marissa Jaret Winokur, Enrico Colantoni, Dennis Andres;United States;June 19, 2020;2020;TV-G;110 min;Children & Family Movies, Comedies, Dramas;After blowing a Broadway audition, a self-centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition.
Movie;Twin Murders: the Silence of the White City;Daniel Calparsoro;Belén Rueda, Javier Rey, Aura Garrido, Manolo Solo, Alex Brendemühl, Ramón Barea, Sergio Dorado, Allende Blanco, Rubén Ochandiano;Spain;March 6, 2020;2020;TV-MA;110 min;International Movies, Thrillers;A detective returns to Vitoria-Gasteiz to solve murders mimicking those allegedly committed by a serial killer who's about to be released from prison.
Movie;Spenser Confidential;Peter Berg;Mark Wahlberg, Winston Duke, Alan Arkin, Bokeem Woodbine, Iliza Shlesinger, Hope Olaide Wilson, Marc Maron;United States;March 6, 2020;2020;R;111 min;Action & Adventure, Comedies;Spenser, an ex-cop and ex-con, teams up with aspiring fighter Hawk to uncover a sinister conspiracy tied to the deaths of two Boston police officers.
Movie;Voiceless;Robert O. Peters;Uzee Usman, Yakubu Mohammed, Asabe Madaki, Sani Mu’azu, Rekiya Ibrahim Atta, Adam Garba, Abba Ali Zaky, Habiba Zock-Sock, Abdul’ Usman Zada, Nadia Dutch, Abubakar Maina, Healing Marcus Udor, Jamila Ibrahim;Nigeria;July 1, 2021;2020;TV-MA;112 min;Dramas, International Movies, Thrillers;A bright and promising young girl gets abducted and taken to a terrorist camp, where she unexpectedly crosses paths with her soulmate.
Movie;Chaman Bahaar;Apurva Dhar Badgaiyann;Jitendra Kumar, Ritika Badiani, Yogendra Tikku, Bhuvan Arora, Alam Khan, Dhirendra Tiwari, Ashwani Kumar, Bhagwan Tiwari;India;June 19, 2020;2020;TV-MA;112 min;Comedies, Dramas, International Movies;A local shop becomes a hub for young men taken with the new neighbor. But as business booms, it may leave the equally smitten storeowner heartbroken.
Movie;Kappela;Musthafa;Anna Ben, Roshan Mathew, Sreenath Bhasi, Sudhi Koppa, Tanvi Ram, Musthafa, James Eliya, Vijilesh;India;June 22, 2020;2020;TV-14;112 min;Dramas, Independent Movies, International Movies;Falling into an over-the-phone romance with a rickshaw driver, a young woman visits his city when an encounter with a stranger derails their meeting.
Movie;Maska;Neeraj Udhwani;Manisha Koirala, Prit Kamani, Shirley Setia, Nikita Dutta, Javed Jaffrey, Dhruv Lohumi;India;March 27, 2020;2020;TV-MA;112 min;Comedies, Dramas, International Movies;Determined to make it in showbiz, an aspiring young actor considers turning his back on the beloved Irani café run by his family for generations.
Movie;And Tomorrow the Entire World;Julia von Heinz;Mala Emde, Noah Saavedra, Tonio Schneider, Luisa-Céline Gaffron, Andreas Lust, Nadine Sauter, Ivy Lissack, Hussein Eliraqui, Victoria Trauttmansdorff, Michael Wittenborn;Germany, France;May 6, 2021;2020;TV-MA;112 min;Dramas, International Movies, Thrillers;A law student joins an anti-fascist group and finds herself sucked into increasingly dangerous situations and drawn more and more to violence.
Movie;The Call;Lee Chung-hyun;Park Shin-hye, Jun Jong-seo, Kim Sung-ryoung, EL, Park Ho-san, Oh Jung-se, Lee Dong-hwi, Um Chae-young;South Korea;November 27, 2020;2020;TV-MA;112 min;International Movies, Thrillers;Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate.
Movie;You've Got This;Salvador Espinosa;Mauricio Ochmann, Esmeralda Pimentel, Matteo Giannini, Regina Reynoso, Juan Martín Jauregui, Tato Alexander, Verónica Bravo, Fernando Becerril, Moisés Arizmendi, Tiaré Scanda, Mariana Cabrera, Montserrat Marañón, Verónica Langer;Mexico;October 2, 2020;2020;TV-MA;112 min;Comedies, International Movies, Romantic Movies;An ad creative and a successful exec have a great marriage — until he wants to be a dad just as her star is rising. Then he brings someone new home.
Movie;Gunjan Saxena: The Kargil Girl;Sharan Sharma;Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Viineet Kumar, Manav Vij, Ayesha Raza Mishra;India;August 12, 2020;2020;TV-14;113 min;Action & Adventure, Dramas, International Movies;Flight Lieutenant Gunjan Saxena makes history in her journey from aspiring aviator to India’s first female combat pilot in the Kargil War.
Movie;Project Power;Henry Joost, Ariel Schulman;Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly, Tait Fletcher, Allen Maldonado, Andrene Ward-Hammond;United States;August 14, 2020;2020;R;113 min;Action & Adventure;An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.
Movie;Isi & Ossi;Oliver Kienle;Lisa Vicari, Dennis Mojen, Walid Al-Atiyat, Christina Hecke, Zoë Straub, Lisa Hagmeister, Hans-Jochen Wagner, André Eisermann, Ernst Stötzner;Germany;February 14, 2020;2020;TV-MA;113 min;Comedies, International Movies, Romantic Movies;A billionaire's daughter fakes a relationship with a cash-strapped boxer in order to coerce her parents into letting her pursue her culinary dreams.
Movie;Fatima;Marco Pontecorvo;Joaquim de Almeida, Goran Visnjic, Stephanie Gil, Alejandra Howard, Jorge Lamelas, Lúcia Moniz, Marco D'Almeida, Joana Ribeiro, Carla Chambel, Elmano Sancho, Harvey Keitel, Sonia Braga;Portugal, United States;January 31, 2021;2020;PG-13;113 min;Dramas, Faith & Spirituality;In 1917 Portugal, visions of the Virgin Mary come to three children whose message of faith raises doubts in their family and angers authorities.
Movie;Skylines;Liam O'Donnell;Lindsey Morgan, Jonathan Howard, Daniel Bernhardt, Rhona Mitra, James Cosmo, Yayan Ruhian, Alexander Siddig, Cha-Lee Yoon, Ieva Andrejevaite, Jeremy Fitzgerald;United Kingdom, United States;March 18, 2021;2020;R;113 min;Action & Adventure;When a mysterious alien virus begins to endanger humanity, an elite team of soldiers launches into space to end the threat for good.
Movie;Fate of Alakada;Kayode Kasum;Toyin Abraham, Broda Shaggi, Calabar Chic, Munirat Antoinette Lecky, Khafi Kareem, Bukola Oshibowale, Adebimpe Akintunde, Temisan Emmanuel, Olaniyi Afonja, Sydney Egere;Nigeria;March 5, 2021;2020;TV-14;113 min;Comedies, International Movies;Faking her way through any situation, a social media influencer poses as an event planner and is tasked with throwing an extravagant, star-studded bash.
Movie;Cargo;Arati Kadav;Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma, Biswapati Sarkar, Ritwik Bhaumik, Prabal Panjabi, Hansal Mehta;India;September 9, 2020;2020;TV-14;113 min;Comedies, Dramas, Independent Movies;Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant.
Movie;Door Ke Darshan;Gagan Puri;Dolly Ahluwalia, Manu Rishi Chadha, Mahie Gill, Shardul Rana, Archita Sharma, Rajesh Sharma, Supriya Shukla, Mehak Manwani;India;July 25, 2020;2020;TV-14;114 min;Comedies, International Movies;When a matriarch wakes from a 30-year coma, her wacky family frantically recreates a bygone era to keep her from noticing how much time has passed.
Movie;Choked: Paisa Bolta Hai;Anurag Kashyap;Saiyami Kher, Roshan Mathew, Amruta Subhash, Upendra Limaye, Tushar Dalvi, Rajshri Deshpande, Vaisnavi RP, Uday Nene, Parthveer Shukla, Sanjay Bhatia, Aditya Kumar, Milind Pathak;India;June 5, 2020;2020;TV-14;114 min;Dramas, International Movies;A bank employee weighed down by her jobless husband's debts — and her own broken dreams — finds a secret source of seemingly unlimited cash in her home.
Movie;365 Days;Barbara Białowąs, Tomasz Mandes;Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska, Natasza Urbańska, Grażyna Szapołowska, Tomasz Stockinger, Gianni Parisi, Mateusz Łasowski;Poland;June 7, 2020;2020;TV-MA;114 min;Dramas, International Movies, Romantic Movies;A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.
Movie;18 Presents;Francesco Amato;Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli;Italy;May 8, 2020;2020;TV-MA;114 min;Dramas, Independent Movies, International Movies;A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.
Movie;Quam's Money;Kayode Kasum;Falz, Nse Ikpe-Etim, Williams Uchemba, Toni Tones, Michelle Dede, Karibi Fubara, Buchi Ojei, Jemima Osunde, Blossom Chukwujekwu, Gbubemi Ejeye, Badmus Olakunle;Nigeria;August 6, 2021;2020;TV-MA;115 min;Comedies, Dramas, International Movies;"In this sequel to ""New Money,"" Quam, a security guard turned multimillionaire, lives the good life with his fortune until he falls victim to fraud."
Movie;Your Name Engraved Herein;Liu Kuang-hui;Edward Chen, Tseng Ching-hua, Leon Dai, Jason Wang, Fabio Grangeon, Mimi Shao, Barry Qu, Erek Lin, Honduras, Lotus Wang;Taiwan;December 23, 2020;2020;TV-MA;115 min;Dramas, International Movies, LGBTQ Movies;In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.
Movie;The Vanished;Peter Facinelli;Thomas Jane, Anne Heche, Jason Patric, John D. Hickman, Peter Facinelli, Alex Haydon, Aleksei Archer, Kristopher Wente;United States;January 15, 2021;2020;R;115 min;Thrillers;When their daughter disappears during a family vacation, two terrified parents launch their own investigation that soon exposes local secrets.
Movie;Indoo Ki Jawani;Abir Sengupta;Kiara Advani, Aditya Seal, Mallika Dua, Rakesh Bedi, Rajendra Sethi, Chittaranjan Tripathi, Rajesh Jais, Alka Badola Kaushal;India;March 2, 2021;2020;TV-14;115 min;Action & Adventure, Comedies, International Movies;A spirited but naive young woman seeks a one-night stand, but after discovering her date’s real identity, things quickly go from casual to complicated.
Movie;The Christmas Chronicles: Part Two;Chris Columbus;Kurt Russell, Goldie Hawn, Darby Camp, Jahzir Bruno, Julian Dennison, Judah Lewis, Kimberly Williams-Paisley, Tyrese Gibson;Canada;November 25, 2020;2020;PG;115 min;Children & Family Movies, Comedies;Unhappy over her mom’s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas.
Movie;Serious Men;Sudhir Mishra;Nawazuddin Siddiqui, Nasser, Aakshath Das, Indira Tiwari, Sanjay Narvekar, Shweta Basu Prasad;India;October 2, 2020;2020;TV-MA;115 min;Comedies, Dramas, International Movies;When a slum dweller spins a web of lies in pursuit of the upward mobility he has long craved, his ruse could be especially dangerous for his young son.
Movie;The Boss Baby: Get That Baby!;Dan Forgione, Pete Jacobs, Matt Whitlock;JP Karliak, Pierce Gagnon, Alex Cazares, Kevin Michael Richardson, Flula Borg, Rhys Darby, Wendie Malick, Jake Green;United States;September 1, 2020;2020;TV-Y7;115 min;Children & Family Movies, Comedies;Think you've got what it takes to be the boss? This interactive special puts your skills to the test and matches you up with one of 16 jobs at Baby Corp.
Movie;Shikara;Vidhu Vinod Chopra;Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai;India;September 2, 2021;2020;TV-14;115 min;Dramas, International Movies, Romantic Movies;A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
Movie;Four Sisters Before the Wedding;Mae Czarina Cruz;Alexa Ilacad, Charlie Dizon, Gillian Vicencio, Belle Mariano, Dominic Ochoa, Carmina Villaroel, Irma Adlawan, Kakai Bautista, Cai Cortez, Jameson Blake, Joao Constancia, Jeremiah Lisbo, Clarence Delgado, Pinky Amador, Minnie Aguilar, Gigi De Lana, Toni Gonzaga, Bea Alonzo, Angel Locsin, Shaina Magdayao, Enchong Dee;Philippines;April 16, 2021;2020;TV-MA;116 min;Children & Family Movies, Comedies, Dramas;When their parents' marriage threatens to crumble, the teenage Salazar siblings plot to reconcile them before their 20th wedding anniversary.
Movie;Tarung Sarung;Archie Hekagery;Panji Zoni, Yayan Ruhian, Maizura, Cemal Farukh, Imelda Therinne, Surya Saputra, Jarot Superdj, Doyok Superdj, Hajra Romessa, Annette Edoarda;Indonesia;December 31, 2020;2020;TV-PG;116 min;Action & Adventure, Dramas, Faith & Spirituality;Wealthy and spoiled, a young man finds something to fight for when he falls in love with an environmental activist protesting his family's business.
Movie;The Last Thing He Wanted;Dee Rees;Anne Hathaway, Ben Affleck, Willem Dafoe, Toby Jones, Rosie Perez, Edi Gathegi, Mel Rodriguez, Onata Aprile;United States;February 21, 2020;2020;R;116 min;Dramas, Thrillers;A hard-hitting reporter becomes entangled in the story she’s trying to break when she helps her ailing father broker an arms deal in Central America.
Movie;Black Beach;Esteban Crespo;Raúl Arévalo, Candela Peña, Paulina García, Claude Musungayi, Babou Cham, Lidia Nené, Melina Matthews, Emilio Buale, Mulie Jarju, Jimmy Castro, Fenda Drame, Dairon Tallon, Teresita Evuy, Olivier Bony;Spain, Belgium, United States;February 3, 2021;2020;TV-MA;116 min;Action & Adventure, International Movies;A lawyer with a promising future is forced to deep dive into his past when he agrees to negotiate with an old friend turned kidnapper.
